parameter_id,latex_symbol,description,nominal,lower,upper,unit,interval_type,source_rationale,independently_varied,propagation_rule,local_analysis,range_analysis,notes
T_min,$T_{\min}$,Lower thermal threshold,11.0,10.0,12.0,degC,literature-anchored / exploratory bounds,"Nominal value anchored to DD analyses for J. lybica; exact 10–12 °C range must be verified in cited sources [34,13,19].",Yes,Recompute T_opt=(2*T_max+T_min)/3 after each perturbation.,Semi-elasticity per +1 degC; do not use percent elasticity in Celsius.,Low/nominal/high; warning-date and lead-time shifts.,Thermal-location parameter; coupled to all mortality stress minima through derived T_opt.
T_max,$T_{\max}$,Upper thermal threshold,35.0,33.0,37.0,degC,literature-anchored / exploratory bounds,Nominal upper activity bound anchored to [34]; exact 33–37 °C range must be verified.,Yes,Recompute T_opt=(2*T_max+T_min)/3 after each perturbation.,Semi-elasticity per +1 degC; do not use percent elasticity in Celsius.,Low/nominal/high; warning-date and lead-time shifts.,Thermal-location parameter; coupled to all mortality stress minima through derived T_opt.
T_opt,$T_{\mathrm{opt}}$,Optimal temperature,27.0,,,degC,derived,Computed as (2*T_max+T_min)/3.,No,Updated whenever T_min or T_max changes.,None independently.,Inherited through T_min and T_max scenarios.,Do not include as an independent parameter in rankings.
beta_max,$\beta_{\max}$,Effective per-adult oviposition rate,5.0,3.0,6.0,eggs adult^-1 day^-1 (effective),literature-anchored / exploratory effective range,"Effective aggregate oviposition coefficient per TOTAL adult. The nominal value 5 is retained from the original case-study parameterization and is informed only by the scale of published per-female fecundity values for J. lybica and related Empoasca [34,37,38]; it is not obtained by applying a sex-ratio correction because the reproductive female fraction is not identifiable from the available trap data. The explored 3-6 interval is therefore literature-anchored but exploratory for the effective per-total-adult coefficient.",Yes,None.,Normalized local elasticity using a small symmetric step (e.g. ±1%).,Use stated asymmetric literature-informed bounds.,"A is total adult density. beta_max is a model-scale effective coefficient, partly confounded with A_intro during early oviposition; no sex-specific quantitative claim is made."
mu_E_min,"$\mu_{E,\min}$",Baseline egg mortality,0.05,0.035,0.065,day^-1,exploratory ±30%,Indirect life-history support only [34].,Yes,None.,Normalized local elasticity (small step).,Low/nominal/high and full interval response.,"Bounds represent assumed, not estimated, uncertainty."
mu_N_min,"$\mu_{N,\min}$",Baseline nymph mortality,0.042,0.029,0.055,day^-1,exploratory approximately ±30%,"Intermediate literature-informed value [34,39].",Yes,Wind mortality k_W*f_W(W) remains active.,Normalized local elasticity (small step).,Low/nominal/high and full interval response.,Bounds are rounded; state exact generation rule in code.
mu_A_min,"$\mu_{A,\min}$",Baseline adult mortality,0.03,0.021,0.039,day^-1,exploratory ±30%,Classical life-history anchor [39].,Yes,None.,Normalized local elasticity (small step).,Low/nominal/high and full interval response.,"Bounds represent assumed, not estimated, uncertainty."
gamma_E_max,"$\gamma_{E,\max}$",Maximum egg hatching rate,0.235,0.188,0.282,day^-1,exploratory ±20%,"Field-informed to reproduce phenology [34,13,40].",Yes,None.,Normalized local elasticity (small step).,"Low/nominal/high; E,N,A and ENEI trajectories; timing shifts.",Priority parameter explicitly raised by Reviewer #2.
gamma_N_max,"$\gamma_{N,\max}$",Maximum nymph development rate,0.12,0.096,0.144,day^-1,exploratory ±20%,"Field-informed to reproduce phenology [34,13,40].",Yes,Wind slowdown g_W(W) remains active.,Normalized local elasticity (small step).,"Low/nominal/high; E,N,A and ENEI trajectories; timing shifts.",Priority parameter explicitly raised by Reviewer #2.
A_intro,$A_{\mathrm{intro}}$,Initial adult immigration pulse,0.02,0.01,0.04,adults leaf^-1,exploratory / site-informed (factor-of-two span),"Not directly measured in Mazzoni et al. (2003) [40], which reports adult captures per sticky trap rather than adults per leaf. Total-adult immigration pulse selected to reflect early-season colonization; Appendix A.3.1 indicates strong amplification.",Yes,Pulse applied on biofix date defined by T_move.,"Normalized local elasticity (small step), with caution about multiplicative confounding.",Use full 0.01-0.04 span; report timing and amplitude effects.,"Internal modelling convention, not a direct field estimate. Factor-of-two exploratory span around the nominal. Confounded with beta_eff during the early reproductive phase (only the product beta_eff*A_intro drives early oviposition)."
T_move,$T_{\mathrm{move}}$,Adult movement / biofix threshold,22.0,20.0,24.0,degC,exploratory / site-informed,"Exploratory biofix threshold. Mazzoni et al. (2003) [40] reports the first sticky-trap appearance of J. lybica in the first decade of July, whereas the current T_move=22 °C rule triggers the model pulse on 14 June 2002; the 20–24 °C range is therefore used to test colonization-timing uncertainty rather than as a literature-estimated thermal interval.",Yes,Recompute the first daily crossing date for every scenario.,Scenario-only; exclude from differential elasticity because the event date is discrete/piecewise constant.,"Report biofix-date, warning-date and lead-time shifts in days.",The nominal thermal biofix precedes first species-specific trap detection by about three weeks. Treat T_move as a discrete scenario parameter and discuss the difference between physiological movement suitability and observable trap appearance.
alpha_T,$\alpha_T$,Egg temperature-stress sensitivity,0.02,0.014,0.026,day^-1 degC^-1,exploratory ±30%,"Qualitative egg thermal-stress support [21,41].",Yes,Uses the derived T_opt reference.,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
alpha_H,$\alpha_H$,Egg humidity-stress sensitivity,0.003,0.0021,0.0039,day^-1 percentRH^-1,exploratory ±30%,"Qualitative egg humidity-stress support [21,35].",Yes,Uses H_m as the shared humidity reference.,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
delta_T,$\delta_T$,Nymph temperature-stress sensitivity,0.006,0.0042,0.0078,day^-1 degC^-1,exploratory ±30%,"Qualitative nymph thermal-stress support [41,44].",Yes,Uses the derived T_opt reference.,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
delta_H,$\delta_H$,Nymph humidity-stress sensitivity,0.0012,0.00084,0.00156,day^-1 percentRH^-1,exploratory ±30%,Qualitative nymph humidity-stress support [35].,Yes,Uses H_m as the shared humidity reference.,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
beta_T,$\beta_T$,Adult temperature-stress sensitivity,0.0145,0.01015,0.01885,day^-1 degC^-1,exploratory ±30%,"Qualitative adult thermal-stress support [21,41].",Yes,Uses the derived T_opt reference.,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
beta_H,$\beta_H$,Adult humidity-stress sensitivity,0.002,0.0014,0.0026,day^-1 percentRH^-1,exploratory ±30%,"Qualitative adult humidity-stress support [21,35].",Yes,Uses H_m as the shared humidity reference.,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
K_W,$K_W$,Wind mortality half-saturation,3.0,2.0,4.0,m s^-1,exploratory,"Phenomenological wind-response parameter [34,35,42,43].",Yes,Used in f_W(W)=W/(W+K_W).,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,No species-specific dose-response estimate.
k_W,$k_W$,Wind mortality coefficient,0.1,0.05,0.15,day^-1,exploratory,"Phenomenological wind mortality term [34,35].",Yes,Term k_W*f_W(W) must be present in every nymph update and sensitivity script.,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Audit code consistency before running analyses.
alpha_W,$\alpha_W$,Wind development slowdown,0.1,0.05,0.15,(m s^-1)^-1,exploratory,"Phenomenological wind-development term [34,35,42,43].",Yes,Used in g_W(W)=1/(1+alpha_W*W).,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,No species-specific dose-response estimate.
c_H,$c_H$,Humidity response steepness,0.08,0.056,0.104,percentRH^-1,exploratory ±30%,Phenomenological logistic response [20].,Yes,Used in f_H(H).,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
H_m,$H_m$,Humidity response midpoint and stress reference,60.0,54.0,66.0,percentRH,exploratory,Phenomenological midpoint under Mediterranean vineyard conditions [20].,Yes,Vary as one coupled parameter in both f_H and all |H-H_m| mortality terms.,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Effect cannot be attributed solely to suitability or mortality because both change together.
c_R,$c_R$,Radiation response steepness,0.25,0.175,0.325,(MJ m^-2 day^-1)^-1,exploratory ±30%,Phenomenological logistic response [20].,Yes,Used in f_R(R).,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
R_m,$R_m$,Radiation response midpoint,18.0,14.4,21.6,MJ m^-2 day^-1,exploratory ±20%,Phenomenological midpoint under Mediterranean vineyard conditions [20].,Yes,Used in f_R(R).,Normalized local elasticity (small step).,Low/nominal/high and timing shifts.,Assumed rather than estimated uncertainty.
